Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2020-12-20,0.17,464989.10000000003,27352.29999999993,0.0,0.0,0.0
2020-12-21,0.18,492341.39999999997,27352.29999999993,0.0,0.0,0.0
2020-12-22,0.18,492341.39999999997,0.0,0.0,0.0,0.0
2020-12-23,0.3,820569.0,328227.60000000003,0.0,0.0,0.0
2020-12-24,0.3,820569.0,0.0,0.0,0.0,0.0
2020-12-25,0.3,820569.0,0.0,0.0,0.0,0.0
2020-12-26,0.58,1586433.4,765864.3999999999,0.0,0.0,0.0
2020-12-27,0.58,1586433.4,0.0,0.0,0.0,0.0
2020-12-28,0.63,1723194.9,136761.5,0.0,0.0,0.0
2020-12-29,0.63,1723194.9,0.0,0.0,0.0,0.0
2020-12-30,0.83,2270240.9,547046.0,0.0,0.0,0.0
2020-12-31,0.83,2270240.9,0.0,0.0,0.0,0.0
2021-01-01,0.83,2270240.9,0.0,0.0,0.0,0.0
2021-01-02,1.26,3446389.8,1176148.9,0.0,0.0,0.0
2021-01-03,1.26,3446389.8,0.0,0.0,0.0,0.0
2021-01-04,1.36,3719912.8000000003,273523.00000000047,0.0,0.0,0.0
2021-01-05,1.44,3938731.1999999997,218818.39999999944,0.0,0.0,0.0
2021-01-06,1.58,4321663.4,382932.20000000065,0.0,0.0,0.0
2021-01-07,1.76,4814004.800000001,492341.4000000004,0.0,0.0,0.0
2021-01-08,1.99,5443107.7,629102.8999999994,0.0,0.0,0.0
2021-01-09,1.99,5443107.7,0.0,0.0,0.0,0.0
2021-01-10,1.99,5443107.7,0.0,0.0,0.0,0.0
2021-01-11,2.67,7303064.1,1859956.3999999994,0.0,0.0,0.0
2021-01-12,2.77,7576587.1,273523.0,0.0,0.0,0.0
2021-01-13,2.77,7576587.1,0.0,0.0,0.0,0.0
2021-01-14,2.88,7877462.399999999,300875.2999999998,0.4,1094092.0,218818.3999999999
2021-01-15,3.15,8615974.5,738512.1000000006,0.48,1312910.4,218818.3999999999
2021-01-16,3.15,8615974.5,0.0,0.48,1312910.4,0.0
2021-01-17,3.15,8615974.5,0.0,0.48,1312910.4,0.0
2021-01-18,3.15,8615974.5,0.0,0.48,1312910.4,0.0
2021-01-19,4.04,11050329.2,2434354.6999999993,0.6,1641138.0,328227.6000000001
2021-01-20,4.24,11597375.2,547046.0,0.64,1750547.2000000002,109409.20000000019
2021-01-21,4.48,12253830.400000002,656455.200000003,0.71,1942013.2999999998,191466.09999999963
2021-01-22,4.83,13211160.9,957330.4999999981,0.82,2242888.5999999996,300875.2999999998
2021-01-23,5.17,14141139.1,929978.1999999993,0.9,2461707.0000000005,218818.40000000084
2021-01-24,5.5,15043765.0,902625.9000000004,0.96,2625820.8,164113.79999999935
2021-01-25,5.72,15645515.6,601750.5999999996,0.99,2707877.6999999997,82056.8999999999
2021-01-26,5.92,16192561.600000001,547046.0000000019,1.04,2844639.1999999997,136761.5
2021-01-27,6.15,16821664.5,629102.8999999985,1.13,3090809.9,246170.7000000002
2021-01-28,6.45,17642233.5,820569.0,1.27,3473742.0999999996,382932.1999999997
2021-01-29,6.8,18599564.0,957330.5,1.42,3884026.5999999996,410284.5
2021-01-30,7.16,19584246.8,984682.8000000007,1.56,4266958.8,382932.2000000002
2021-01-31,7.49,20486872.700000003,902625.9000000022,1.68,4595186.399999999,328227.5999999996
2021-02-01,7.74,21170680.2,683807.4999999963,1.76,4814004.800000001,218818.4000000013
2021-02-02,7.86,21498907.8,328227.6000000015,1.8,4923414.000000001,109409.20000000019
2021-02-03,8.07,22073306.1,574398.3000000007,1.91,5224289.3,300875.2999999989
2021-02-04,8.3,22702409.0,629102.8999999985,2.06,5634573.8,410284.5
2021-02-05,8.6,23522977.999999996,820568.9999999963,2.23,6099562.9,464989.10000000056
