group_name,value
0,6221
1,6788
2,6364
3,6036
4,6016
5,5901
6,5665
7,5407
8,5289
9,5082
10,5211
11,5260
12,5374
13,5512
14,5568
15,5739
16,6088
17,6233
18,5583
19,5707
20,6179
21,6478
22,6833
23,7022
24,7160
25,7378
26,7333
27,7492
28,7477
29,7529
30,7289
31,7069
32,6979
33,6713
34,6745
35,6568
36,6877
37,6850
38,7042
39,7230
40,7328
41,6838
42,6677
43,6441
44,6071
45,6245
46,6245
47,6338
48,6211
49,6492
50,6233
51,6096
52,5928
53,5821
54,5636
55,5392
56,5150
57,4964
58,5038
59,4887
60,4706
61,4643
62,4386
63,4321
64,4513
65,3684
66,3165
67,3025
68,2683
69,2681
70,2337
71,2255
72,2140
73,2034
74,1905
75,1769
76,1673
77,1556
78,1417
79,1349
80,1333
81,1185
82,1134
83,1086
84+,5151
