group_name,value
0,4017
1,4273
2,4228
3,4425
4,4336
5,4363
6,4200
7,3994
8,4199
9,4020
10,4168
11,3919
12,3711
13,3731
14,3558
15,3517
16,3657
17,3563
18,3312
19,3151
20,3485
21,3563
22,3633
23,3962
24,4167
25,4515
26,4497
27,4431
28,4758
29,4540
30,4779
31,4281
32,4319
33,4115
34,4089
35,4267
36,4156
37,4236
38,4228
39,4236
40,4686
41,4220
42,4082
43,3820
44,3788
45,3849
46,3650
47,3685
48,3789
49,3737
50,3854
51,3419
52,3417
53,3439
54,3309
55,3198
56,3135
57,2935
58,2804
59,2599
60,2814
61,2412
62,2358
63,2150
64,2159
65,1721
66,1605
67,1436
68,1175
69,1096
70,1193
71,1030
72,781
73,778
74,659
75,570
76,511
77,451
78,390
79,364
80,401
81,305
82,315
83,234
84+,982
