group_name,value
0,40918
1,42476
2,42752
3,43880
4,44567
5,42733
6,41091
7,40541
8,39949
9,39621
10,41078
11,41365
12,42579
13,41616
14,41580
15,42674
16,43235
17,42274
18,41641
19,41371
20,42393
21,43092
22,43212
23,43009
24,43331
25,44323
26,44622
27,44382
28,44700
29,43564
30,43361
31,42160
32,42166
33,41139
34,40960
35,42274
36,42758
37,43045
38,44700
39,47907
40,48834
41,46199
42,46348
43,44126
44,43498
45,43462
46,43558
47,44090
48,44813
49,43642
50,43481
51,42046
52,41107
53,39735
54,39126
55,39095
56,37178
57,35958
58,35547
59,34376
60,34107
61,32739
62,32165
63,31562
64,32858
65,25701
66,24441
67,23783
68,21011
69,21106
70,19303
71,18520
72,17994
73,17027
74,15945
75,15108
76,14099
77,12892
78,12360
79,11697
80,11613
81,10717
82,9505
83,8847
84+,41730
