group_name,value
1,122447
2,126361
3,132155
4,139164
5,149273
6,126946
7,141973
8,153717
9,164871
10,170565
11,168788
12,172210
13,167442
14,174901
15,166322
16,158963
17,152269
18,148482
19,146829
20,138540
21,126740
22,123083
23,121556
24,129775
25,133960
26,131899
27,139990
28,153530
29,165973
30,176334
31,177766
32,185376
33,189527
34,201389
35,196144
36,188005
37,182387
38,180885
39,179073
40,170145
41,160494
42,153249
43,151042
44,154970
45,142719
46,133088
47,126549
48,126461
49,123948
50,117126
51,112848
52,115265
53,117342
54,128299
55,123120
56,124007
57,118021
58,120181
59,124809
60,121139
61,120135
62,118236
63,116465
64,119252
65,108697
66,97151
67,86788
68,81170
69,71732
70,64590
71,53638
72,50799
73,45081
74,43798
75,35976
76,31657
77,26720
78,20648
79,13267
80,10384
81,9387
82,13077
83,13581
84,15341
85+,66786
