group_name,value
0,3128
1,3143
2,3149
3,3155
4,3179
5,3198
6,3214
7,3227
8,3244
9,3264
10,3289
11,3312
12,3385
13,3455
14,3638
15,3894
16,3683
17,3501
18,3520
19,3606
20,3657
21,3724
22,3837
23,3861
24,3770
25,3677
26,3633
27,3549
28,3471
29,3493
30,3608
31,3822
32,3929
33,3864
34,3739
35,3467
36,3517
37,3665
38,3767
39,3810
40,3958
41,3934
42,3662
43,3576
44,3645
45,3624
46,3661
47,3658
48,3807
49,3841
50,3900
51,4067
52,4006
53,3860
54,3744
55,3681
56,3808
57,3886
58,3911
59,3943
60,3881
61,3823
62,3860
63,3882
64,3711
65,3424
66,3468
67,3373
68,3304
69,3074
70,2823
71,2665
72,2405
73,2347
74,2262
75,2051
76,1927
77,1691
78,1531
79,1439
80,1277
81,1064
82,915
83,850
84+,4111
