group_name,value
1,9790
2,9805
3,9787
4,9751
5,9277
6,9588
7,10107
8,11283
9,11261
10,12040
11,12637
12,12957
13,12993
14,12970
15,12914
16,12953
17,13204
18,13662
19,14138
20,14449
21,14593
22,14579
23,14526
24,14486
25,14446
26,14437
27,14573
28,14945
29,15448
30,15921
31,16335
32,16614
33,16746
34,16683
35,16379
36,15928
37,15258
38,14589
39,13932
40,13195
41,12700
42,12314
43,12005
44,11763
45,11302
46,10748
47,10067
48,9364
49,8752
50,8151
51,7813
52,7558
53,7327
54,7202
55,6999
56,6824
57,6598
58,6257
59,5882
60,5484
61,5219
62,5006
63,4806
64,4621
65,4426
66,4300
67,4193
68,4032
69,3824
70,3513
71,3234
72,2980
73,2733
74,2496
75,2260
76,2069
77,1896
78,1748
79,1622
80,1472
81,1337
82,1185
83,1024
84,877
85+,3942
