group_name,value
0,24448
1,24675
2,25442
3,26607
4,27351
5,28214
6,27500
7,27318
8,27567
9,27300
10,28656
11,28994
12,29059
13,31417
14,32704
15,31977
16,32210
17,32539
18,33636
19,34413
20,34141
21,34013
22,33102
23,33388
24,34315
25,38380
26,39059
27,33394
28,29259
29,28841
30,28872
31,33342
32,34699
33,34354
34,35100
35,37542
36,38807
37,40039
38,42133
39,44528
40,46071
41,46859
42,46315
43,51261
44,51335
45,51549
46,51308
47,50643
48,49286
49,47366
50,45299
51,43261
52,41792
53,41074
54,41218
55,42573
56,44627
57,46534
58,48100
59,49279
60,50224
61,51122
62,51522
63,51280
64,50227
65,48525
66,47115
67,46147
68,45377
69,44552
70,42504
71,39622
72,37104
73,34195
74,31579
75,29221
76,25826
77,22314
78,19509
79,17379
80,16545
81,16641
82,16687
83,16277
84+,99100
