group_name,value
1,176579
2,190071
3,178167
4,197110
5,213802
6,227621
7,227115
8,240929
9,245600
10,248222
11,247552
12,247126
13,248277
14,249039
15,248601
16,246172
17,241755
18,237355
19,240733
20,243988
21,250847
22,259406
23,271204
24,278770
25,284844
26,295943
27,303832
28,314195
29,321810
30,323277
31,327179
32,329658
33,335117
34,333069
35,328758
36,323174
37,316949
38,310238
39,303365
40,296910
41,290696
42,285244
43,280819
44,276980
45,273257
46,270702
47,267827
48,264890
49,262296
50,260136
51,258708
52,256862
53,254731
54,252824
55,250077
56,247006
57,243532
58,239404
59,234902
60,230037
61,225060
62,219345
63,213408
64,207550
65,201523
66,194749
67,187779
68,180985
69,172799
70,165045
71,157975
72,150448
73,143492
74,136453
75,127031
76,118270
77,107359
78,97023
79,87807
80,80843
81,73564
82,66873
83,60921
84,55618
85+,377222
