group_name,value
0,586573
1,806254
2,968813
3,834248
4,711902
5,672257
6,648812
7,613288
8,618403
9,606609
10,607320
11,594958
12,608740
13,710623
14,831263
15,945083
16,1045261
17,1221318
18,1266078
19,1385013
20,1476523
21,1631977
22,1743806
23,1654570
24,1512047
25,1371657
26,1298050
27,1167890
28,1173006
29,1153538
30,1178547
31,1141034
32,1176558
33,1180679
34,1210235
35,1265368
36,1315243
37,1324480
38,1465014
39,1555103
40,1636950
41,1700183
42,1790699
43,1720645
44,1690378
45,1601994
46,1524835
47,1407749
48,1313397
49,1228281
50,1154249
51,1070412
52,1025367
53,1055776
54,1092010
55,1129524
56,1177979
57,1192473
58,1114320
59,1080216
60,976913
61,920357
62,868493
63,785509
64,742453
65,686041
66,633182
67,610161
68,556876
69,532719
70,526324
71,501457
72,488385
73,446040
74,403554
75,391759
76,382097
77,377550
78,342878
79,312185
80,277229
81,259183
82,240000
83,206750
84+,972791
