group_name,value
1,51694
2,52113
3,53002
4,56829
5,62858
6,67054
7,67366
8,68520
9,70298
10,70212
11,69074
12,71476
13,71996
14,69562
15,73695
16,73967
17,72116
18,70423
19,72919
20,71407
21,72150
22,73527
23,77146
24,79009
25,79491
26,79132
27,79196
28,80079
29,81079
30,81484
31,81667
32,81882
33,82145
34,82906
35,83111
36,83398
37,83390
38,83177
39,82483
40,80620
41,78593
42,76612
43,74665
44,72839
45,71561
46,69224
47,67272
48,65382
49,63552
50,62076
51,60668
52,59983
53,59571
54,59218
55,58998
56,58125
57,59009
58,58868
59,58551
60,57966
61,57082
62,55842
63,54214
64,52213
65,49910
66,47383
67,44726
68,42085
69,39770
70,37599
71,35559
72,33559
73,31632
74,29713
75,28117
76,26409
77,24298
78,22508
79,20538
80,18709
81,17024
82,15455
83,13962
84,12535
85+,70846
