group_name,value
1,95213
2,94664
3,96520
4,101988
5,106553
6,112095
7,111480
8,113554
9,120650
10,119672
11,122698
12,123451
13,128505
14,125970
15,123401
16,118757
17,113689
18,111773
19,114982
20,121497
21,128338
22,132653
23,134758
24,136647
25,137394
26,137039
27,135518
28,133033
29,131139
30,129667
31,135074
32,143217
33,153824
34,162177
35,165135
36,162079
37,152498
38,150616
39,152036
40,142213
41,139243
42,134087
43,116753
44,114624
45,117297
46,120654
47,134983
48,149519
49,155015
50,165516
51,182644
52,199175
53,197744
54,193089
55,189250
56,191078
57,193098
58,196272
59,195849
60,195842
61,189714
62,177442
63,153002
64,140845
65,125306
66,113680
67,108579
68,107376
69,103874
70,102960
71,103378
72,98060
73,90358
74,87393
75,81900
76,81005
77,78247
78,71625
79,66793
80,62009
81,58302
82,54568
83,46469
84,44687
85+,239121
