group_name,value
1,14624
2,14915
3,15121
4,14929
5,14683
6,14610
7,14661
8,14966
9,14505
10,14249
11,13970
12,14503
13,14043
14,13786
15,13482
16,13287
17,13207
18,13231
19,13362
20,13589
21,13907
22,14306
23,14807
24,15407
25,16097
26,16854
27,17669
28,18532
29,19486
30,20530
31,21686
32,22924
33,24211
34,25280
35,26031
36,26438
37,26539
38,26332
39,25964
40,25486
41,24911
42,24249
43,23503
44,22723
45,21915
46,21098
47,20260
48,19432
49,18700
50,18123
51,17719
52,17472
53,17357
54,17237
55,17035
56,16749
57,16394
58,15964
59,15554
60,15205
61,14926
62,14722
63,14556
64,14336
65,14011
66,13555
67,13001
68,12353
69,11715
70,11163
71,10687
72,10278
73,9926
74,9567
75,9160
76,8720
77,8214
78,7676
79,7132
80,6585
81,6060
82,5538
83,5042
84,4550
85+,24554
