group_name,value
0,96468
1,94456
2,92849
3,90929
4,89628
5,88065
6,87237
7,87201
8,87238
9,88508
10,88289
11,88729
12,88998
13,88460
14,88371
15,86081
16,85286
17,85778
18,84034
19,82517
20,76627
21,74339
22,69071
23,67575
24,64790
25,63704
26,62557
27,62590
28,52408
29,50640
30,45400
31,43746
32,41157
33,39842
34,38576
35,37384
36,36298
37,33990
38,31658
39,29875
40,28432
41,28447
42,28691
43,28564
44,28108
45,27625
46,27229
47,26888
48,25923
49,24824
50,24090
51,23550
52,23123
53,22606
54,21770
55,21067
56,20365
57,19325
58,18523
59,17792
60,17041
61,16303
62,15411
63,14611
64,13945
65,12715
66,11491
67,10781
68,10326
69,9792
70,9171
71,8494
72,7814
73,6997
74,7407
75,6552
76,6381
77,5801
78,5136
79,4817
80,4196
81,3612
82,3073
83,2579
84+,9042
