group_name,value
0,865228
1,852686
2,847141
3,839637
4,833025
5,826888
6,821161
7,833958
8,836260
9,824387
10,818268
11,802356
12,783215
13,760336
14,736467
15,719180
16,706595
17,697958
18,686090
19,661527
20,648815
21,634882
22,619678
23,602510
24,576356
25,555785
26,539494
27,525524
28,521611
29,515763
30,512717
31,505536
32,497794
33,488500
34,477109
35,467975
36,460291
37,450233
38,438999
39,427565
40,424280
41,402447
42,373378
43,362339
44,374020
45,353667
46,333009
47,307374
48,299634
49,289623
50,277763
51,263345
52,246735
53,247931
54,242927
55,229988
56,216941
57,206839
58,198638
59,191897
60,184637
61,175724
62,165897
63,138186
64,130251
65,122851
66,113198
67,104089
68,95308
69,87413
70,80481
71,74202
72,68429
73,62977
74,57854
75,51525
76,45340
77,41010
78,37462
79,33235
80,30016
81,27164
82,23596
83,19870
84+,75467
