group_name,value
0,41175
1,42127
2,47647
3,42352
4,46956
5,49466
6,53154
7,54571
8,54896
9,55532
10,57931
11,63830
12,66184
13,58877
14,52964
15,57932
16,60952
17,57469
18,53969
19,52203
20,52022
21,52951
22,55880
23,61306
24,64279
25,67827
26,76075
27,83751
28,90248
29,95274
30,96894
31,98629
32,101290
33,103976
34,106686
35,110325
36,110114
37,110863
38,114508
39,114906
40,118034
41,122392
42,122640
43,120931
44,117610
45,114163
46,112807
47,111481
48,111406
49,115275
50,117946
51,117401
52,115577
53,114782
54,113669
55,113346
56,111915
57,111680
58,117311
59,123306
60,129782
61,131593
62,124067
63,120766
64,119003
65,118524
66,117531
67,111826
68,106497
69,101394
70,94064
71,87810
72,83780
73,80263
74,77342
75,71155
76,62931
77,53495
78,42478
79,36620
80,35463
81,32723
82,30244
83,30494
84+,271570
