group_name,value
0,4417
1,4495
2,5023
3,4713
4,4676
5,4463
6,4334
7,4340
8,4412
9,4617
10,4593
11,4772
12,4774
13,5094
14,5182
15,5053
16,4914
17,4896
18,4856
19,4974
20,4892
21,4893
22,5106
23,5469
24,5432
25,5665
26,5918
27,6117
28,6204
29,6525
30,6813
31,6717
32,6603
33,6749
34,6390
35,6274
36,5714
37,5467
38,5415
39,5482
40,5542
41,5513
42,5346
43,5492
44,5361
45,4907
46,4728
47,4886
48,4829
49,4658
50,4952
51,4955
52,4486
53,4271
54,4350
55,4277
56,4355
57,4580
58,4465
59,4466
60,4441
61,4340
62,4070
63,4285
64,4252
65,4032
66,4013
67,3872
68,3687
69,3519
70,3451
71,3176
72,3111
73,3033
74,2847
75,2715
76,2518
77,2302
78,2241
79,1981
80,1831
81,1677
82,1425
83,1272
84+,7786
