group_name,value
0,763544
1,825940
2,839894
3,976112
4,928868
5,992018
6,928410
7,1085604
8,941876
9,946208
10,961403
11,999778
12,984050
13,909577
14,881388
15,796803
16,833804
17,763854
18,809916
19,795399
20,784964
21,743100
22,749974
23,738414
24,682139
25,687505
26,662359
27,583276
28,633595
29,599225
30,592337
31,558884
32,537836
33,546364
34,516578
35,513858
36,497893
37,489763
38,481205
39,471479
40,419488
41,405860
42,359798
43,386199
44,379842
45,380878
46,351091
47,375378
48,345429
49,308016
50,300433
51,307144
52,307351
53,310972
54,296560
55,289420
56,274268
57,285710
58,266906
59,255539
60,269671
61,252879
62,199574
63,194518
64,184185
65,160785
66,151014
67,136306
68,128161
69,134518
70,129684
71,75493
72,92728
73,71929
74,67702
75,49269
76,54250
77,44819
78,57059
79,39690
80,43902
81,33703
82,27199
83,20887
84+,90304
