group_name,value
1,32383
2,32802
3,32992
4,33107
5,33301
6,33522
7,34169
8,34969
9,35839
10,36487
11,37273
12,38224
13,39380
14,40766
15,42052
16,43194
17,44294
18,45239
19,46023
20,46559
21,46917
22,46821
23,46702
24,47075
25,48904
26,50433
27,51788
28,52912
29,53652
30,54363
31,54507
32,54283
33,52462
34,50343
35,48504
36,48004
37,47257
38,46986
39,47016
40,46871
41,45939
42,44126
43,42361
44,40734
45,39716
46,38387
47,37505
48,36913
49,36372
50,35785
51,36213
52,34189
53,33289
54,32482
55,31720
56,31423
57,31297
58,30730
59,30262
60,30171
61,29022
62,27685
63,26900
64,26038
65,24004
66,22995
67,21002
68,19029
69,17146
70,15463
71,14065
72,12741
73,11945
74,10721
75,8832
76,9114
77,8740
78,8216
79,7565
80,6817
81,6012
82,5195
83,4399
84,3659
85+,14527
