group_name,value
0,12280
1,14127
2,15016
3,13222
4,14555
5,14715
6,15554
7,15839
8,16148
9,16324
10,16885
11,17701
12,18092
13,19145
14,19545
15,20389
16,20783
17,20548
18,18000
19,15617
20,15384
21,15154
22,15647
23,16567
24,17066
25,17619
26,18081
27,18850
28,19720
29,20075
30,20892
31,20854
32,21198
33,21276
34,21624
35,22698
36,22916
37,23787
38,24259
39,25575
40,26632
41,27389
42,27415
43,26348
44,25528
45,24896
46,24791
47,24827
48,25334
49,21162
50,25733
51,24671
52,26275
53,26091
54,27608
55,28060
56,28862
57,28250
58,28441
59,29622
60,30707
61,30945
62,31924
63,33804
64,34293
65,37006
66,36351
67,34542
68,29336
69,16956
70,19297
71,24393
72,23907
73,24593
74,22665
75,21576
76,18542
77,20868
78,20623
79,20654
80,19374
81,18483
82,18167
83,17284
84+,97871
