group_name,value
0,65097
1,65950
2,67871
3,67513
4,70088
5,71148
6,71608
7,72684
8,72106
9,71830
10,71845
11,74940
12,76947
13,79861
14,81212
15,82869
16,83659
17,83786
18,87614
19,91509
20,91448
21,91433
22,88572
23,87448
24,87429
25,88538
26,90111
27,93781
28,95962
29,97838
30,99836
31,102665
32,102914
33,101440
34,102500
35,107845
36,108514
37,115174
38,118431
39,126155
40,134263
41,145632
42,150206
43,149094
44,145711
45,142656
46,138735
47,131084
48,128965
49,101287
50,124582
51,112665
52,110824
53,103655
54,97432
55,95991
56,94948
57,92552
58,87147
59,91649
60,93982
61,96682
62,103390
63,110776
64,123213
65,133804
66,158730
67,152082
68,144300
69,88131
70,95624
71,116033
72,115311
73,123979
74,117318
75,98730
76,83228
77,84437
78,84251
79,81773
80,70542
81,62552
82,57312
83,57819
84+,245912
