group_name,value
0,13175
1,14567
2,16746
3,14673
4,16206
5,16397
6,16732
7,17199
8,17021
9,17296
10,17215
11,18061
12,18347
13,19173
14,19200
15,19058
16,19103
17,19041
18,17595
19,16038
20,16195
21,16168
22,16639
23,17350
24,17949
25,18888
26,19645
27,20049
28,21181
29,21768
30,22891
31,23110
32,23281
33,23702
34,23620
35,25464
36,25819
37,26349
38,27337
39,28362
40,29804
41,31378
42,31762
43,30752
44,29187
45,28427
46,27871
47,26628
48,27201
49,21286
50,25911
51,24006
52,24444
53,23517
54,24020
55,24468
56,25603
57,25182
58,25320
59,26614
60,27836
61,27749
62,29383
63,30297
64,32526
65,34396
66,36016
67,33637
68,31362
69,19625
70,20010
71,23286
72,23740
73,23802
74,21780
75,20127
76,16072
77,17147
78,16846
79,16575
80,15623
81,14256
82,13488
83,13617
84+,73314
