group_name,value
0,406455
1,414195
2,455708
3,427849
4,419036
5,411230
6,406165
7,403793
8,399391
9,395873
10,390215
11,385443
12,380212
13,373518
14,362940
15,350456
16,331226
17,309777
18,289227
19,271957
20,256512
21,244075
22,236131
23,232202
24,232162
25,236377
26,244172
27,256540
28,270779
29,284088
30,295780
31,306578
32,316429
33,323403
34,326960
35,326326
36,322862
37,315383
38,305711
39,294832
40,284062
41,274000
42,265408
43,257619
44,250545
45,244817
46,240594
47,237221
48,233869
49,229576
50,224944
51,220238
52,214849
53,209482
54,205044
55,201771
56,199586
57,198775
58,198230
59,197247
60,191473
61,189840
62,187203
63,183443
64,177935
65,170481
66,160882
67,149611
68,138081
69,126322
70,114414
71,103636
72,94372
73,86017
74,79830
75,72751
76,62223
77,46929
78,30792
79,22059
80,22861
81,28744
82,33443
83,34334
84+,156685
