group_name,value
0,3291
1,3275
2,3266
3,3233
4,3231
5,3169
6,3115
7,3073
8,3043
9,3026
10,3033
11,3034
12,3021
13,2917
14,2789
15,2693
16,2562
17,2409
18,2269
19,2163
20,2087
21,2129
22,2213
23,2273
24,2330
25,2357
26,2364
27,2347
28,2280
29,2224
30,2161
31,2130
32,2094
33,2031
34,1943
35,1889
36,1865
37,1824
38,1771
39,1733
40,1664
41,1588
42,1507
43,1426
44,1386
45,1243
46,1194
47,1131
48,1075
49,1038
50,1018
51,1008
52,1004
53,1010
54,1027
55,1045
56,1055
57,1040
58,995
59,947
60,907
61,852
62,784
63,713
64,638
65,577
66,517
67,473
68,429
69,390
70,360
71,336
72,310
73,287
74,260
75,232
76,205
77,185
78,168
79,149
80,138
81,121
82,102
83,82
84+,252
