group_name,value
1,49581
2,50582
3,52229
4,54044
5,56075
6,58338
7,60709
8,62681
9,64141
10,65080
11,65504
12,65441
13,64956
14,64084
15,62834
16,61200
17,59162
18,56722
19,53831
20,50482
21,46655
22,43065
23,42571
24,45895
25,53035
26,64013
27,77594
28,88898
29,96712
30,101042
31,101897
32,100241
33,99968
34,102045
35,106483
36,113274
37,121549
38,127781
39,131099
40,131501
41,128985
42,124046
43,118606
44,113132
45,107638
46,102117
47,96621
48,91349
49,86357
50,81642
51,77216
52,73013
53,68783
54,64468
55,60078
56,55609
57,51095
58,46634
59,42282
60,38020
61,33855
62,29840
63,26219
64,23054
65,20335
66,18067
67,16197
68,14478
69,12869
70,11366
71,9966
72,8678
73,7541
74,6573
75,5773
76,5132
77,4626
78,4168
79,3727
80,3321
81,2928
82,2524
83,2181
84,1871
85+,8162
