group_name,value
0,7111
1,7451
2,7425
3,7453
4,7500
5,7498
6,7716
7,7883
8,7858
9,8007
10,8032
11,8026
12,7880
13,8346
14,8445
15,8333
16,8050
17,7590
18,7524
19,7667
20,7942
21,8169
22,8068
23,7875
24,7565
25,7716
26,7715
27,7844
28,8066
29,7747
30,7723
31,8013
32,7651
33,7582
34,7663
35,8003
36,8519
37,8565
38,8793
39,8965
40,9221
41,9236
42,8904
43,8998
44,8849
45,8956
46,8718
47,8587
48,8407
49,8410
50,8305
51,8197
52,8173
53,7965
54,7975
55,7909
56,8087
57,8191
58,8232
59,8183
60,8331
61,8371
62,8261
63,8109
64,8064
65,8115
66,7804
67,7610
68,7514
69,7523
70,6999
71,6651
72,5966
73,6099
74,5573
75,4735
76,4355
77,3704
78,2649
79,2812
80,2781
81,2701
82,2636
83,2671
84+,13914
