group_name,value
0,11648
1,11438
2,10870
3,10704
4,9946
5,10530
6,10516
7,10325
8,9273
9,8713
10,8416
11,7933
12,8285
13,7740
14,8273
15,8807
16,10054
17,9956
18,9855
19,10362
20,12669
21,12307
22,13352
23,13979
24,13752
25,14355
26,15135
27,15985
28,15374
29,14030
30,14930
31,14032
32,14132
33,13878
34,14146
35,13872
36,13016
37,12950
38,12884
39,12096
40,12124
41,10993
42,10448
43,10646
44,10788
45,11119
46,11500
47,11691
48,12166
49,13566
50,13509
51,13619
52,12818
53,12663
54,12429
55,13252
56,12963
57,12324
58,12328
59,11404
60,10989
61,10610
62,7966
63,9458
64,6825
65,4711
66,3973
67,3627
68,5237
69,5949
70,6666
71,6009
72,5787
73,5983
74,4897
75,4320
76,2767
77,2737
78,2875
79,2551
80,2530
81,2206
82,1918
83,1556
84+,5039
