group_name,value
0,9635
1,9407
2,9978
3,9017
4,8312
5,8432
6,8366
7,8176
8,8057
9,7523
10,8525
11,8171
12,7995
13,7500
14,7579
15,7768
16,8007
17,7647
18,8349
19,8054
20,10214
21,8908
22,8676
23,8254
24,7507
25,8061
26,6706
27,6800
28,5998
29,5507
30,7126
31,5272
32,4925
33,4610
34,4782
35,5627
36,4775
37,4939
38,4881
39,4948
40,7248
41,5268
42,5087
43,4689
44,4605
45,5882
46,4801
47,4901
48,5015
49,5045
50,6620
51,4678
52,4473
53,4017
54,3673
55,3934
56,3115
57,2659
58,2695
59,2486
60,2601
61,1949
62,1452
63,1347
64,1241
65,1047
66,1222
67,1229
68,1221
69,1313
70,1807
71,1255
72,1421
73,1336
74,1191
75,1097
76,810
77,965
78,790
79,676
80,764
81,516
82,556
83,370
84+,3369
