group_name,value
0,64045
1,66929
2,67140
3,61447
4,58686
5,61571
6,59679
7,59536
8,54722
9,53461
10,55238
11,48829
12,51666
13,51064
14,54808
15,57034
16,61131
17,60883
18,62459
19,65496
20,75765
21,74341
22,77322
23,79442
24,81258
25,87017
26,86310
27,88631
28,86826
29,83148
30,92671
31,82069
32,81458
33,77036
34,79653
35,79920
36,77932
37,75125
38,76224
39,73263
40,75116
41,68219
42,70377
43,65831
44,67474
45,72202
46,69795
47,76080
48,82805
49,81334
50,90895
51,82069
52,79328
53,74352
54,76481
55,77857
56,77838
57,71715
58,72402
59,65086
60,73730
61,69843
62,55181
63,61361
64,46852
65,31158
66,25933
67,29295
68,38990
69,47166
70,53958
71,55830
72,53624
73,53881
74,40920
75,35179
76,21157
77,20116
78,22064
79,22724
80,25780
81,21988
82,20249
83,17221
84+,56805
