group_name,value
0,27721
1,28419
2,28430
3,26987
4,24662
5,25307
6,25856
7,24976
8,23943
9,23183
10,23902
11,22842
12,23426
13,23266
14,24599
15,25592
16,28827
17,27494
18,29293
19,29371
20,37150
21,36282
22,37667
23,39285
24,39171
25,40474
26,41218
27,42019
28,39424
29,38654
30,40691
31,38432
32,38220
33,36902
34,38338
35,38380
36,37000
37,35873
38,36509
39,34917
40,36417
41,34483
42,33614
43,34767
44,35108
45,37264
46,37931
47,40371
48,42418
49,40820
50,43782
51,40727
52,40231
53,38608
54,39068
55,40304
56,39311
57,35791
58,35816
59,33423
60,34070
61,34592
62,28849
63,29680
64,26610
65,17461
66,13290
67,13697
68,21400
69,25473
70,26724
71,28233
72,26227
73,26600
74,21472
75,17807
76,10266
77,9692
78,11511
79,12188
80,12731
81,11345
82,10508
83,9263
84+,27551
