group_name,value
0,36267
1,37461
2,38610
3,35368
4,33061
5,34230
6,33133
7,32211
8,30010
9,29225
10,31513
11,28714
12,29843
13,29637
14,32260
15,32417
16,35108
17,34063
18,36857
19,37957
20,44155
21,42225
22,43231
23,44478
24,45220
25,47656
26,46894
27,47646
28,46069
29,45696
30,49595
31,44336
32,43550
33,42032
34,42931
35,42970
36,39577
37,39896
38,39042
39,37146
40,39622
41,34902
42,36497
43,34479
44,37470
45,38610
46,39391
47,40362
48,43654
49,44655
50,47577
51,45186
52,40235
53,41522
54,38109
55,41605
56,39990
57,36793
58,35958
59,32510
60,33925
61,34057
62,24899
63,28115
64,22207
65,14767
66,12125
67,14173
68,19510
69,23091
70,26798
71,27368
72,26500
73,26322
74,21607
75,18406
76,9905
77,10210
78,12056
79,11398
80,13583
81,11265
82,10847
83,8972
84+,26244
