group_name,value
0,31359
1,31957
2,31979
3,30136
4,28443
5,26982
6,27282
7,27607
8,25672
9,24991
10,25300
11,23514
12,24325
13,24195
14,25269
15,26131
16,29475
17,30688
18,31999
19,34069
20,39839
21,38879
22,39628
23,41052
24,41579
25,43276
26,44216
27,44618
28,42435
29,41300
30,43323
31,40262
32,39055
33,39328
34,40407
35,39643
36,37325
37,37011
38,38006
39,36103
40,36418
41,34162
42,34394
43,33749
44,36401
45,35963
46,37434
47,39375
48,42064
49,40355
50,46326
51,41005
52,41418
53,40454
54,39530
55,39984
56,39896
57,36980
58,37155
59,33997
60,35065
61,34616
62,27597
63,29192
64,24706
65,15638
66,12577
67,13801
68,20376
69,22936
70,25305
71,27432
72,26028
73,26136
74,21924
75,18503
76,10915
77,11561
78,13362
79,13140
80,13764
81,11778
82,11664
83,9006
84+,28790
