group_name,value
0,166941
1,189836
2,191936
3,186493
4,183807
5,183089
6,180877
7,177556
8,174351
9,170059
10,168869
11,168681
12,170123
13,174092
14,179206
15,185311
16,189728
17,190230
18,186001
19,175578
20,163694
21,152141
22,143274
23,137054
24,130728
25,127755
26,122488
27,117458
28,112003
29,106022
30,100710
31,94613
32,91145
33,89601
34,87549
35,88828
36,88461
37,87412
38,86184
39,84442
40,82870
41,81148
42,79591
43,77769
44,77984
45,77990
46,77270
47,77047
48,76535
49,76565
50,75650
51,75609
52,74207
53,72717
54,69232
55,65183
56,63086
57,59913
58,57427
59,56062
60,54022
61,53025
62,50156
63,47094
64,43270
65,39481
66,35924
67,33832
68,32920
69,33214
70,33964
71,34148
72,33387
73,31930
74,28819
75,25405
76,22523
77,20061
78,18258
79,16340
80,15337
81,14270
82,13279
83,13099
84+,63017
