group_name,value
0,70878
1,72741
2,71807
3,69726
4,68617
5,67454
6,66650
7,65294
8,63661
9,61794
10,60279
11,58988
12,58586
13,59502
14,60366
15,62376
16,63632
17,65159
18,66703
19,67848
20,68032
21,67777
22,68634
23,68100
24,66130
25,64884
26,63050
27,61355
28,58432
29,56652
30,53879
31,51245
32,49732
33,47867
34,46881
35,45321
36,44465
37,43692
38,42900
39,41894
40,41157
41,40144
42,39412
43,39189
44,38331
45,38393
46,37816
47,36931
48,36111
49,35525
50,33705
51,32630
52,31079
53,30308
54,29668
55,28548
56,27409
57,26151
58,24670
59,23772
60,22556
61,21300
62,19442
63,18305
64,17130
65,15756
66,14492
67,13252
68,12319
69,11855
70,11490
71,10981
72,10353
73,9615
74,9118
75,8598
76,7955
77,7359
78,6480
79,5712
80,4956
81,4644
82,4122
83,3866
84+,18798
