group_name,value
0,324720
1,311164
2,306533
3,297859
4,288508
5,275064
6,282015
7,289048
8,291340
9,317132
10,330403
11,342366
12,342493
13,332191
14,326667
15,317871
16,308013
17,298348
18,289162
19,279194
20,267806
21,254459
22,237638
23,219670
24,200770
25,171698
26,156601
27,148648
28,140621
29,132732
30,126372
31,123518
32,122157
33,121699
34,122516
35,97836
36,96031
37,109066
38,120913
39,125374
40,127594
41,128580
42,128213
43,127008
44,124911
45,122324
46,118989
47,115330
48,111262
49,106866
50,102309
51,97060
52,91493
53,85402
54,79554
55,74131
56,69228
57,64625
58,60401
59,56923
60,53117
61,49723
62,46447
63,43279
64,40206
65,37229
66,34431
67,31658
68,29012
69,26475
70,24008
71,21633
72,19367
73,17190
74,15110
75,13835
76,12779
77,11339
78,9891
79,8521
80,7271
81,6149
82,5148
83,4262
84+,13354
