group_name,value
0,265276
1,267587
2,268006
3,267436
4,265487
5,261442
6,258507
7,261564
8,276316
9,266514
10,248481
11,234051
12,228454
13,234445
14,217560
15,203665
16,185554
17,179403
18,170554
19,165998
20,164291
21,171354
22,180795
23,186494
24,187589
25,182200
26,174947
27,171069
28,169001
29,167384
30,165393
31,164639
32,166116
33,166517
34,164418
35,160034
36,154820
37,148673
38,140635
39,131689
40,122730
41,115826
42,110909
43,106273
44,101561
45,96465
46,92250
47,89270
48,86819
49,84624
50,82266
51,80635
52,79675
53,78446
54,76592
55,73894
56,71567
57,69849
58,68472
59,67152
60,65054
61,63098
62,60740
63,57201
64,53039
65,47797
66,42363
67,37792
68,33776
69,30355
70,27159
71,24342
72,21773
73,18826
74,16104
75,13545
76,10979
77,8871
78,7076
79,5995
80,5661
81,5813
82,6005
83,5693
84+,23015
