group_name,value
0,187248
1,243469
2,314268
3,290486
4,272399
5,268253
6,263971
7,257775
8,262057
9,273811
10,274586
11,282924
12,282924
13,277411
14,267615
15,284154
16,282103
17,288664
18,274268
19,279233
20,281375
21,273356
22,277000
23,274540
24,272080
25,278960
26,274358
27,280098
28,273948
29,278915
30,278277
31,261237
32,264380
33,256088
34,253720
35,262923
36,258139
37,277366
38,296956
39,312856
40,316546
41,301785
42,288892
43,292901
44,314815
45,328984
46,336866
47,341513
48,336911
49,343472
50,339600
51,328529
52,330305
53,326022
54,315817
55,313038
56,297412
57,296272
58,287068
59,278368
60,281466
61,286933
62,306022
63,298642
64,235040
65,248709
66,243924
67,250258
68,223241
69,213673
70,205791
71,189937
72,190301
73,178957
74,166200
75,156086
76,144013
77,147339
78,136860
79,143830
80,130299
81,126290
82,118956
83,110481
84+,577783
