group_name,value
0,15464
1,19734
2,23036
3,20267
4,18520
5,19202
6,17819
7,18614
8,18660
9,19077
10,18561
11,18710
12,18124
13,17907
14,17999
15,19487
16,18740
17,18756
18,17119
19,16357
20,16923
21,17565
22,18365
23,19551
24,20290
25,20542
26,20611
27,21448
28,20316
29,20349
30,20842
31,18933
32,18438
33,18859
34,18225
35,18520
36,18330
37,18260
38,19395
39,20272
40,21668
41,18956
42,18727
43,19372
44,20295
45,21912
46,21579
47,21822
48,20803
49,20595
50,22115
51,20510
52,21727
53,22502
54,22312
55,21787
56,21291
57,21412
58,19867
59,19420
60,20123
61,19454
62,19495
63,18124
64,15169
65,15867
66,14414
67,13395
68,12184
69,10092
70,10600
71,10131
72,9164
73,7870
74,7867
75,7662
76,6992
77,7637
78,8437
79,8629
80,8162
81,7736
82,6987
83,6214
84+,36620
