group_name,value
0,44109
1,58357
2,71230
3,67138
4,60123
5,58740
6,60148
7,59089
8,58423
9,59131
10,61264
11,58948
12,57473
13,56265
14,54873
15,55890
16,55632
17,55415
18,52616
19,55257
20,54198
21,54624
22,56540
23,56490
24,55057
25,55357
26,55673
27,57140
28,57281
29,60081
30,60314
31,53365
32,52716
33,50057
34,48600
35,50791
36,48083
37,50366
38,53007
39,53632
40,55082
41,48492
42,50607
43,48749
44,51508
45,56098
46,57824
47,59673
48,60531
49,59873
50,61231
51,58440
52,62422
53,59673
54,57923
55,58273
56,54698
57,52741
58,49158
59,47974
60,48367
61,49600
62,50581
63,49333
64,36992
65,39226
66,37518
67,36010
68,34302
69,32286
70,31211
71,29478
72,28928
73,26145
74,20621
75,21913
76,21046
77,21538
78,19880
79,19871
80,18455
81,16671
82,15838
83,14605
84+,77828
