group_name,value
0,1367607
1,1397442
2,1430003
3,1463663
4,1474959
5,1442512
6,1561929
7,1581751
8,1716259
9,1706786
10,1780946
11,1947274
12,1670143
13,1467988
14,1583558
15,1529219
16,1514459
17,1424417
18,1381860
19,1355638
20,1367921
21,1259460
22,1252268
23,1307182
24,1243158
25,1203216
26,1293372
27,1372087
28,1466345
29,1521722
30,1602620
31,1676652
32,1725104
33,1850578
34,1793890
35,1708543
36,1691635
37,1648237
38,1708407
39,1739833
40,1670556
41,1610888
42,1459795
43,1411687
44,1414593
45,1356312
46,1315877
47,1334820
48,1305988
49,1241372
50,1218149
51,1256069
52,1228916
53,1199382
54,1195434
55,1144997
56,1070107
57,1057397
58,1100565
59,1110674
60,1079651
61,1024126
62,900998
63,938139
64,917862
65,836014
66,790841
67,710534
68,666534
69,644842
70,563086
71,514397
72,437194
73,463152
74,403814
75,339537
76,300315
77,250088
78,228379
79,200369
80,180869
81,178627
82,162917
83,145783
84+,863002
