group_name,value
1,664068
2,647627
3,633251
4,621127
5,611241
6,599039
7,587253
8,578590
9,570390
10,562637
11,555765
12,548502
13,539643
14,529343
15,517195
16,503858
17,489727
18,474970
19,456955
20,438567
21,420434
22,406520
23,393681
24,383178
25,371591
26,359781
27,347676
28,337434
29,327362
30,316645
31,306077
32,296214
33,289096
34,281093
35,273436
36,265029
37,257656
38,249814
39,241366
40,231935
41,222990
42,213415
43,203924
44,195048
45,187837
46,179886
47,171790
48,162893
49,154443
50,144024
51,134975
52,126037
53,117475
54,109590
55,101535
56,94654
57,88042
58,82129
59,76719
60,71543
61,66809
62,62035
63,57644
64,53395
65,49222
66,45255
67,41500
68,37984
69,34709
70,31575
71,28582
72,25751
73,23099
74,20701
75,17142
76,14641
77,13495
78,11888
79,10289
80,8788
81,7420
82,6222
83,5179
84,4275
85+,15233
