group_name,value
1,481418
2,475107
3,464492
4,454388
5,445883
6,438909
7,436066
8,438668
9,445107
10,454543
11,464013
12,463280
13,455851
14,440214
15,424009
16,398863
17,379885
18,364272
19,359373
20,354149
21,345485
22,331712
23,317914
24,301377
25,283368
26,258836
27,235096
28,214404
29,197073
30,192132
31,189378
32,195301
33,190244
34,185876
35,183462
36,183038
37,185660
38,223625
39,225259
40,223778
41,217636
42,208424
43,202754
44,180417
45,168632
46,158168
47,145648
48,132031
49,119702
50,105572
51,97426
52,89821
53,81910
54,74907
55,69282
56,64831
57,60645
58,56549
59,53033
60,50300
61,48924
62,48586
63,48395
64,48464
65,48510
66,48560
67,48669
68,48448
69,47216
70,45627
71,43350
72,40580
73,37542
74,34532
75,31096
76,22666
77,21048
78,19028
79,16991
80,14956
81,13013
82,11171
83,9494
84,8103
85+,34218
